indice product_name packaging additives_fr nutrition-score-fr_100g
0 Filet-de-bœuf plastique # #
1 Lion-Peanut-x2 # # #
2 Twix-x2 # # #
3 Pack-de-2-Twix # # #
4 Flute Paper,plasticfilm # #
5 lentilles-vertes- Sachetplastique # #
6 Biscuits-sablés-fourrage-au-cacao Carton E1400-Dextrines,E322-Lécithines,E503-Carbonatesd'ammonium #
7 Thé-de-Noël-aromatisé-orange-cannelle aluminium # #
8 Sirops-pour-ganache-macarons Carton,Bouteille,Verre E330-Acidecitrique,E171-Oxydedetitane,E211-Benzoatedesodium,E131-BleupatentéV #
9 เล็บมือนาง-(ตีนไก่-) plastic # #
10 Zumo-de-Piña # # #
11 Luxury-Christmas-Pudding plastic,bowl E170-Carbonatedecalcium,E375-Acidenicotinique,E163-Anthocyanes,E330-Acidecitrique,E502-Carbonates 10
12 Luxury-Christmas-Pudding plastic,bowl E170-Carbonatedecalcium,E375-Acidenicotinique,E163-Anthocyanes,E330-Acidecitrique,E502-Carbonates 10
13 Bonbon-Vichy emballage # #
14 Pepsi,-Nouveau-goût-! Canettealuminium E150d-Caramelausulfited'ammonium,E338-Acideorthophosphorique 13
15 Cauliflower Plastic,Bag # #
16 Salsa-de-mostaza Botedeplástico # #
17 7Up Canette E330-Acidecitrique,E296-Acidemalique,E331-Citratesdesodium 13
18 Spring-Onions elasticband # #
19 Flat-Leaf-Parsley film-plastic # #
20 Chair-à-saucisse Barquette,Plastique E326-Lactatedepotassium,E263-Acétatedecalcium,E621-Glutamatemonosodique,E316-Erythorbatedesodium,E120-Acidecarminique,E150c-Caramelammoniacal #
21 Sea-Salt-Potato-Chips # # #
22 Sour-Fruit-Gummies # E428-Gélatine,E330-Acidecitrique,E334-AcideL-tartrique,E297-Acidefumarique,E420-Sorbitol,E551-Dioxydedesilicium,E129-RougealluraAC,E110-JauneorangéS,E133-BleubrillantFCF,E102-Tartrazine 14
23 Jelly-Fish # E331-Citratesdesodium,E905a-Huileminéraledequalitéalimentaire,E903-Ciredecarnauba,E129-RougealluraAC,E110-JauneorangéS,E102-Tartrazine,E133-BleubrillantFCF 6
24 Color-bombe Cartonetplastique # #
25 Mixed-peppers # # #
26 Spring-onions # # #
27 Pepsi Canette # #
28 Pates-Langue-d'oiseau # # #
29 30-Panach'-Fruits Boîte,Carton,Plastique E440-Pectines,E330-Acidecitrique,E331-Citratesdesodium,E202-Sorbatedepotassium,E422-Glycérol,E503-Carbonatesd'ammonium,E500-Carbonatesdesodium,E450-Selsmétalliquesdediphosphates,E471-Mono-etdiglycéridesd'acidesgrasalimentaires,E502-Carbonates 13
30 Foie-gras-de-canard-du-Périgord Conserve # #
31 Médaillon-au-foie-gras-de-canard-et-aux-champignons # # #
