product_name countries fat_100g proteins_100g carbohydrates_100g nutrition-score-fr_100g salt_100g fiber_100g
Dark-chocolate-85%-Cacao United-States 50 10 35 13 0 15
Virgin-coconut-oil United-States 100 0 0 15 0 0
beurre-d'arachide-croquant France 8 3 3 -1 0 1
Camomile-&-Spiced-apple-tea Royaume-Uni 0 0 0 1 0 0
Lemon-&-Ginger-tea Royaume-Uni 0 0 0 1 0 0
Twinings-fresh-thé-vert-menthe France 0 0 0 1 0 0
Perrier-Sparkling-Natural-Mineral-Water United-States 0 0 0 0 0 0
White-Fiber-Spaghetti- United-States 1 6 43 -6 0 6
Organic-Italian-Extra-Virgin-Olive-Oil United-Kingdom 91 0 0 11 0 0
Greek-Extra-Virgin-Olive-Oil United-Kingdom 91 0 0 11 0 0
Italian-Extra-Virgin-Olive-Oil United-Kingdom 91 0 0 11 0 0
Spanish-Extra-Virgin-Olive-Oil United-Kingdom 91 0 0 11 0 0
Organic-Fruit-&-Nut-Granola United-States 10 5 36 -5 0 5
Huile-d'Olive-Vierge-Extra-Classico France 100 0 0 11 0 0
Kind-Fruit-and-Nut United-States 40 15 35 7 0 7
Orange-Blossom-Water Deutschland 0 0 0 0 0 0
Rose-Water Deutschland 0 0 0 0 0 0
Hemp-Hearts United-States 13 10 3 -8 0 3
Perrier United-States 0 0 0 0 0 0
Chia-Bia-Milled-Chia-Seed-(Gluten-free) United-Kingdom 31 21 20 -2 0 33
No-Peel-Orange-Marmalade United-Kingdom 0 0 67 13 0 0
Barnana USA 0 2 26 -3 0 4
Lasagne United-States 2 14 74 -6 0 4
Beurre-doux-Oméga-3 France 50 0 0 5 0 0
Moyen-Coca-Cola-Light France,Europe 0 0 0 0 0 0
Moyen-Coca-Cola France,Europe 0 0 11 14 0 0
Beef-dripping Netherlands 100 0 0 20 0 0
Figuritas-de-mazapán-&quot;DOR&quot; España 25 9 50 10 0 4
Piña-&quot;Agropen&quot; España 0 1 14 -8 0 4
280-sauce-Moutarde-de-Dijon France 14 15 18 11 1 1
Sauce-Classic-Curry France 0 0 38 12 1 0
confiture-abricots France 11 9 51 0 0 2
Óleo-alimentar Portugal 92 0 0 11 0 0
Pasteles-de-Gloria-&quot;DOR&quot; España 10 4 66 13 0 2
Berry-Chewing-gum-sans-sucres France 0 0 52 1 0 0
Huile-de-noix France 92 0 0 2 0 0
Olive-oil United-Kingdom 91 0 0 11 0 0
Simply...-Penne United-Kingdom 2 11 69 -6 0 6
Mini-fruits-Pomme France 4 1 76 10 0 8
Jambon-supérieur-avec-couenne---4-tranches France 8 20 1 11 2 0
Sirop-d'Orgeat France 0 0 77 20 0 0
Taboulé-orientale-à-la-menthe-douce France 6 5 25 1 1 2
Taboulé-Oriental-Menthe-et-Huile-d'Olive-Vierge-Extra France 6 5 25 1 1 2
Fruit-Shoot-Multivitaminé France 0 0 9 12 0 0
Teisseire-Zero-menthe France 0 0 1 3 0 0
Schweppes-Zéro France 0 0 0 1 0 0
Schweppes-Zéro France 0 0 0 1 0 0
Schweppes-lemon-light France 0 0 0 1 0 0
Oasis---Raisin France 0 0 9 12 0 0
SOS-Drainage-arôme-Pêche France 0 0 0 0 0 0
Quaker-Oats-Flocons-d'avoine France 8 11 60 -5 0 9
Cacahuètes-Grillées-à-Sec France 52 25 11 18 2 7
Cacahuètes-grillées-à-sec-(lot-de-2) France 52 25 11 18 2 7
Ricola-Cranberry-Bonbons-suisses-aux-plantes-Offre-ECO France 0 0 97 2 0 0
Cassis-Bonbons-suisses-aux-plantes-(lot-de-2) France 0 0 96 2 0 0
Perrier-saveur-citron France 0 0 0 1 0 0
Perrier-saveur-citron-vert France 0 0 0 1 0 0
Perrier-citron-vert,-limoen France 0 0 0 1 0 0
Perrier-saveur-citron-vert-lime France 0 0 0 1 0 0
Sel-Fin,-Iodé France 0 0 0 10 98 0
Pommes-Noisettes France 8 3 26 3 1 2
Farine-de-blé-fluide France 1 11 72 -6 0 4
Spaghetti-Bio France 2 11 70 -5 0 3
Torsades-Bio France 2 11 70 -5 0 3
Coquillettes-Bio France 2 11 70 -5 0 3
Val-d'Automne-(28-%-MG) France 28 20 1 17 2 0
Huile-de-colza France 100 0 0 10 0 0
Casino-Huile-d'olive France 100 0 0 11 0 0
Huile-d'olive-vierge-extra,-extraite-à-froid France 100 0 0 11 0 0
Compote-Pomme-(Allégée-en-sucres) France 0 0 14 -4 0 2
Pomme-Bio-Casino France 0 0 20 -2 0 2
Compote-Pomme---Fraise---Myrtille France 0 0 15 -4 0 2
Sardines-au-naturel France 5 23 0 1 1 0
Édulcorant-de-table-à-base-d'extrait-de-stévia France 0 0 93 5 0 0
Les-Doodingues France 19 7 66 17 1 4
Flocons-d'avoine France 7 14 62 -5 0 10
Galettes-Normandes France 13 7 74 20 1 2
Thé-du-Soir-LIPTON France 0 0 0 1 0 0
Huile-de-sésame-toasté France 100 0 0 12 0 0
Huile-de-Noisette France 100 0 0 10 0 0
Huile-vierge-de-Sésame France 100 0 0 12 0 0
Huile-de-Pistache France 100 0 0 11 0 0
